;16SAF1_S10;16SAF3_S11;16SAF4_S12;16SAF6_S13;16SAF8_S14;16Sbee1_S38;16Sbee2_S39;16Sbee3_S40;16Sbee4_S41;16SBF1_S1;16SBF3_S3;16SBF4_S4;16SBF6_S6;16SBF8_S8;16SBS1_S15;16SBS2_S16;16SBS3_S17;16SBS4_S18;16SBS6_S19;16SBS9_S22;16SHS1_S23;16SHS2_S24;16SHS3_S25;16SHS4_S26;16SHS6_S28;16SHS9_S29;16SN1_S47;16SN2_S48;16SN3_S49;16SPP1_S50;16SPP2_S51;16SPP3_S52;HB1-B11_S253;HB1-s-A10_S244;HB2-C11_S254;HB2-s-B10_S245;HB3-D11_S255;HB3-s-C10_S246;HB31-B1-F03_S22;HB31-B2-G03_S23;HB31-B3-H03_S24;HB31-P1-D07_S52;HB31-P2-E07_S53;HB31-P3-F07_S54;HB35-B1-A04_S25;HB35-B2-B04_S26;HB35-B3-C04_S27;HB35-P1-G07_S55;HB35-P2-H07_S56;HB35-P3-A08_S57;HB37-B1-D04_S28;HB37-B2-E04_S29;HB37-B3-F04_S30;HB37-P1-B08_S58;HB37-P2-C08_S59;HB37-P3-D08_S60;HB39-B1-G04_S31;HB39-B2-H04_S32;HB39-B3-A05_S33;HB39-P1-E08_S61;HB39-P2-F08_S62;HB39-P3-G08_S63;HB41-B1-B05_S34;HB41-B2-C05_S35;HB41-B3-D05_S36;HB41-P1-H08_S64;HB41-P2-A09_S65;HB41-P3-B09_S66;HB42-B1-E05_S37;HB42-B2-F05_S38;HB42-B3-G05_S39;HB42-P1-C09_S67;HB42-P2-D09_S68;HB42-P3-E09_S69;HB42-Plant-F12_S190;HB43-B1-H05_S40;HB43-B2-A06_S41;HB43-B3-B06_S42;HB43-P1-F09_S70;HB43-P2-G09_S71;HB43-P3-H09_S72;HB43-Plant-E12_S189;HB44-B1-C06_S43;HB44-B2-D06_S44;HB44-B3-E06_S45;HB44-P1-A10_S73;HB44-P2-B10_S74;HB44-P4-F10_S78;HB45-B1-F06_S46;HB45-B2-G06_S47;HB45-B3-H06_S48;HB45-P0-C10_S75;HB45-P1-D10_S76;HB45-P2-E10_S77;MS1-H1-G10_S79;MS1-R1-F12_S94;MS10-R1-D12_S188;MS2-H1-H10_S80;MS2-R1-G12_S95;MS3-H1-A11_S81;MS3-R1-H12_S96;MS4-H1-B11_S82;MS4-R1-F11_S182;MS5-H1-C11_S83;MS5-R1-G11_S183;MS6-H2-E11_S85;MS6-R1-H11_S184;MS7-H1-F11_S86;MS7-R1-A12_S185;MS8-H1-G11_S87;MS8-R1-B12_S186;MS9-H1-H11_S88;MS9-H10-A12_S89;MS9-R1-C12_S187;NC17-A01_S193;NC18-B01_S194;NC20-D01_S196;NC23-F01_S198;NC27-H01_S200;NC28-A02_S201;NC32-B02_S202;NC33-C02_S203;NC40-D02_S204;NC42-E02_S205;NC43-F02_S206;OB1-B1-A01_S97;OB1-B2-B01_S98;OB1-B3-C01_S99;OB1-H11_S259;OB1-P1-C04_S123;OB1-P2-D04_S124;OB1-P3-E04_S125;OB1-Plant-E12_S264;OB1-s-G10_S250;OB10-B1-H03_S120;OB10-B2-A04_S121;OB10-B3-B04_S122;OB10-P1-F07_S150;OB10-P2-G07_S151;OB10-P3-H07_S152;OB2-A12_S260;OB2-B1-D01_S100;OB2-B2-E01_S101;OB2-B3-F01_S102;OB2-P1-F04_S126;OB2-P2-G04_S127;OB2-P3-H04_S128;OB2-Plant-F12_S265;OB2-s-H10_S251;OB3-B1-G01_S103;OB3-B12_S261;OB3-B2-H01_S104;OB3-B3-A02_S105;OB3-P1-A05_S129;OB3-P2-B05_S130;OB3-P3-C05_S131;OB3-Plant-G12_S266;OB3-s-A11_S252;OB4-B1-B02_S106;OB4-B2-C02_S107;OB4-B3-D02_S108;OB4-P1-D05_S132;OB4-P2-E05_S133;OB4-P3-F05_S134;OB5-B1-E02_S109;OB5-B2-F02_S110;OB5-P1-G05_S135;OB5-P2-H05_S136;OB5-P3-A06_S137;OB6-B1-G02_S111;OB6-B2-H02_S112;OB6-P1-B06_S138;OB6-P2-C06_S139;OB6-P3-D06_S140;OB7-B1-A03_S113;OB7-B2-B03_S114;OB7-B3-C03_S115;OB7-P1-E06_S141;OB7-P2-F06_S142;OB7-P3-G06_S143;OB8-B1-D03_S116;OB8-B2-E03_S117;OB8-P2-A07_S145;OB8-P3-B07_S146;OB8-Plant-H12_S267;OB9-B1-F03_S118;OB9-B2-G03_S119;OB9-P1-C07_S147;OB9-P2-D07_S148;OB9-P3-E07_S149;OC1-G04_S223;OC10-H05_S232;OC2-H04_S224;OC3-A05_S225;OC4-B05_S226;OC5-C05_S227;OC6-D05_S228;OC7-E05_S229;OC8-F05_S230;OC9-G05_S231;PB1-G06_S239;PB3-A08_S241;PC6-D06_S236;PC8-F06_S238
ASV0011;0;330;0;4098;1373;6;0;353;0;55;340;3015;46;1975;0;381;160;887;2805;0;2080;0;54;2632;2697;2654;32;0;0;1290;224;2710;0;0;0;0;0;0;5;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;7;0;19;285;0;0;0;0;0;84;0;27;0;0;0;3858;0;0;0;0;8;23;0;0;0;0;0;0;0;0;0;40;0;0;0;0;186;0;0;0;0;0;0;6;0;0;0;0;0;13;0;15;0;0;0;14;0;0;0;0;37;11;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0
ASV0012;6657;968;269;0;9292;2707;650;5030;3183;757;370;0;722;4223;12783;2165;1032;7400;573;3838;4663;7039;937;4255;934;0;37;8;87;0;0;0;1511;61;359;58;604;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1068;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
ASV0013;345;5210;2630;2438;4245;0;0;0;0;2488;1847;6967;1214;2101;366;9528;764;257;2478;1631;3060;12398;119;3712;5993;10283;6;7;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0014;2932;1361;0;0;6333;3581;963;9330;4236;507;495;646;503;4394;2195;2367;660;2948;1235;3681;2382;4689;427;2611;756;0;36;6;49;0;0;0;1235;92;1253;70;1907;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;25;0;5;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;54;0;0;0
ASV0015;3813;9668;2790;3687;291;0;0;0;0;161;2116;8224;113;2020;335;591;53;205;4373;247;709;1630;29;1179;0;439;8;0;0;0;0;0;0;0;0;0;0;7;34;31;82;0;33;13;48;11;46;0;22;13;61;41;11;0;6;14;88;80;8;6;55;0;15;35;14;31;6;0;0;0;77;0;4;10;0;8;78;93;0;0;54;0;41;0;14;2;0;0;10;20;22;21;2;0;0;651;0;181;2220;16;269;0;29;47;15;209;27;235;38;118;22;198;11;34;57;487;60;371;283;510;253;651;24;86;99;11;62;39;33;37;23;48;0;3;21;33;32;24;0;11;3;70;49;86;57;9;65;0;24;46;6;71;0;21;49;16;0;0;8;24;82;5;55;50;89;53;14;18;0;81;17;19;46;101;9;12;19;84;79;13;52;162;6;0;0;20;48;35;61;79;14;9;58;137;45;1022;556;3;16;13;46;0;0;0
ASV0016;1767;7420;5126;2430;1737;0;0;0;0;155;1235;395;195;3340;180;1034;29;231;583;723;1413;7924;30;909;1963;2132;10;9;15;0;0;0;0;62;5;34;0;78;42;117;113;36;88;14;177;72;92;78;104;179;99;73;37;124;197;105;123;110;197;124;141;76;124;129;162;233;144;92;108;43;111;108;85;154;0;172;378;243;55;127;63;0;120;29;73;93;115;22;67;132;101;97;177;183;67;68;0;247;306;146;174;91;139;209;59;77;327;111;115;186;191;294;45;30;83;349;33;228;0;460;210;76;92;315;59;65;121;57;0;113;62;71;0;7;55;54;50;25;0;14;0;71;92;83;98;32;69;0;11;97;22;128;63;71;108;114;0;19;102;113;59;54;92;29;158;122;19;30;41;60;167;121;100;175;115;187;142;345;119;0;152;126;104;131;0;106;35;205;87;50;145;70;155;10;42;375;203;16;69;77;0;0;0;0
ASV0017;247;2123;2411;7325;1366;0;0;246;0;73;251;2160;115;1491;350;389;100;422;1885;1590;704;11016;45;1066;1993;1988;21;9;0;728;339;8688;0;0;0;0;0;0;0;57;35;0;10;24;22;15;13;38;33;57;50;27;50;40;41;12;25;34;23;62;49;50;46;158;50;37;23;31;85;9;41;34;53;19;0;46;113;58;46;83;56;0;36;56;28;70;45;44;52;18;73;46;39;178;14;33;0;131;83;15;69;19;69;23;18;13;46;19;30;36;35;14;0;14;47;346;74;78;164;283;176;132;22;158;22;26;45;42;0;70;68;41;0;0;42;9;29;31;0;25;29;48;22;15;165;22;12;0;0;33;38;43;20;32;63;46;0;0;25;34;0;19;24;54;27;16;56;24;0;43;31;26;56;139;21;36;84;146;46;15;41;60;26;29;0;55;31;135;56;87;118;6;46;8;8;134;71;0;26;32;43;17;24;0
ASV0018;0;163;974;1665;25;0;0;0;0;0;0;0;32;340;9;0;11;0;0;193;18;0;0;0;136;0;0;0;0;0;0;0;16;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;33136;13;0;0;0;1666;0;0;0;0;0;0;18638;0;0;0;0;0;0;0;4812;0;3520;0;0;0;0;0;0;482;0;0;0;0;0;0;25;0;0;0;0;0;0;10;0;11;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASV0019;723;0;2855;2879;596;0;0;0;123;0;434;1883;274;6329;712;3388;0;0;0;3020;654;3072;0;0;0;0;1002;176;193;0;268;402;0;1062;0;1941;37;1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;216;196;109;85;390;0;1240;142;119;0;0;79;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;59;0;0;0;0;0;0;0;207;0;0;39;0;0;69;0;0;378;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336;129;0;0
ASV0020;123;0;1832;0;0;0;0;0;0;0;0;17;85;0;0;104;0;118;905;119;520;0;0;0;0;604;29;0;0;81;214;1405;0;0;0;0;0;0;0;0;0;0;4;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;25;0;0;0;0;0;0;0;0;0;1158;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0;0
